j4u60q,Doll,Toys,6,37,18.5
52qb4n,Oil,Misc,1,36,3.6
j4u60q,Lego,Toys,2,83,41.5
1b88un,Meat,Food,1,49,24.5
14i3dh,Light bulb,Misc,2,63,31.5
14i3dh,Cheese,Food,2,63,25.200000000000003
8sk9v9,Bucket,Misc,1,74,14.8
x9pz03,Spinner,Toys,8,28,5.6000000000000005
el93v0,Ball,Toys,6,45,22.5
el93v0,Lego,Toys,8,30,12.0
x9pz03,Candy,Food,3,94,28.2
el93v0,Bread,Food,1,34,10.2
1b88un,Beer,Food,2,99,19.8
x9pz03,Bucket,Misc,5,53,26.5
8sk9v9,Wig,Misc,7,15,1.5
1b88un,Toy car,Toys,2,97,38.800000000000004
np799p,Lighter,Misc,6,94,18.8
o82g4m,Meat,Food,8,18,3.6
